,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
223,1927634,0.81,True,Oostelijk Havengebied - Indische Buurt,52.38,4.934,Entire home/apt,4,2,3,14,482.0,8,30,True,0,0,4,True,120.5,3856.0,0.07,0.16,0.22,10.99,0.0,2368.904109589041
224,1928474,0.44,True,Noord-West,52.4,4.902,Entire home/apt,6,3,6,5,130.0,4,21,True,0,0,4,True,21.67,520.0,0.07,0.19,0.18,4.99,0.31232876712328766,822.3835616438356
225,1929777,0.8,True,De Pijp - Rivierenbuurt,52.34,4.895,Entire home/apt,4,2,2,8,230.0,3,1124,True,0,0,4,True,57.5,690.0,0.06,0.16,0.24,4.99,0.0,1150.0
226,1954182,0.2,True,De Baarsjes - Oud-West,52.38,4.87,Entire home/apt,2,1,1,5,150.0,14,365,True,0,0,4,True,75.0,2100.0,0.09,0.14,0.23,4.99,0.0,750.0
227,1954308,0.0,True,De Baarsjes - Oud-West,52.38,4.86,Entire home/apt,3,2,2,7,130.0,4,1125,True,0,0,4,True,43.34,520.0,0.06,0.11,0.13,4.99,0.0,650.0
228,1957337,0.0,True,Oud-Oost,52.34,4.918,Entire home/apt,4,2,3,8,275.0,3,14,True,0,0,5,True,68.75,825.0,0.09,0.19,0.18,4.99,0.06027397260273973,1375.0
229,1964479,0.56,True,Oud-Noord,52.38,4.918,Entire home/apt,4,2,2,13,350.0,3,1125,True,0,0,4,True,87.5,1050.0,0.09,0.08,0.26,4.99,0.28493150684931506,1750.0
230,1977828,0.75,True,Bos en Lommer,52.38,4.855,Entire home/apt,3,2,1,1,75.0,3,1125,True,0,0,4,True,25.0,225.0,0.07,0.13,0.17,4.99,0.0,519.972602739726
231,2023961,0.0,True,Centrum-West,52.38,4.887,Entire home/apt,2,1,1,8,114.0,4,30,True,0,0,4,True,57.0,456.0,0.06,0.08,0.2,4.99,0.0,571.2328767123288
232,2074047,1.0,True,Westerpark,52.38,4.87,Entire home/apt,4,2,1,12,185.0,6,30,True,0,0,4,True,46.25,1110.0,0.07,0.12,0.21,4.99,0.2821917808219178,918.8356164383562
233,2080040,0.54,True,Zuid,52.34,4.848,Entire home/apt,3,2,2,12,134.0,7,1125,True,9,1,4,True,44.66,938.0,0.07,0.07,0.18,4.99,0.4904109589041096,825.5890410958904
234,2080427,1.0,True,Oud-Oost,52.34,4.914,Entire home/apt,2,1,1,6,102.0,6,15,True,0,0,4,True,51.0,612.0,0.07,0.15,0.15,4.99,0.0,510.0
235,2088011,1.0,True,Oud-Oost,52.38,4.93,Entire home/apt,2,1,1,4,150.0,3,30,True,0,1,5,True,75.0,450.0,0.06,0.19,0.15,4.99,0.0,750.0
236,2097548,0.33,True,Noord-West,52.4,4.918,Entire home/apt,4,2,4,6,150.0,3,21,True,0,0,4,True,37.5,450.0,0.07,0.25,0.25,4.99,0.03561643835616438,754.5205479452055
